"year","STATION_NAME","PRCP","LATITUDE","LONGITUDE","ELEVATION","TMAX","TMIN","del_TT_Deg_Celsius","DMI","Nino34","u_wind_200","u_wind_600","u_wind_850","v_wind_200","v_wind_600","v_wind_850","X20E","X70E","X80E","X100E","X120E","X140E","X160E","X120W","X40W","X10W","NAO","EA","WP","EPNP","PNA","EAWR","SCA","TNH","POL","SolarFlux","TempAnomaly"
1978,"AURANGABAD CHIKALTH IN",0,19.85,75.4,579,300,210,-20.93499128,13,-0.43,-14.58999148,2.560008135,9.180007987,-0.719991792,-0.469991798,-1.819991767,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"GADAG IN",0,15.417,75.633,650,290,210,-22.12749125,17,-0.29,-18.60499139,4.99500808,12.09500792,-1.169991782,-1.419991776,-2.1699917595,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"PENDRA ROAD IN",30,22.767,81.9,625,290,230,-20.70999128,13,-0.43,-9.339991599,-2.119991761,0.030008191,-1.419991776,-1.26999178,-2.019991763,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"JAIPUR SANGANER IN",0,26.817,75.8,390,320,240,-19.53499131,21,-0.43,-2.119991761,-1.469991775,2.980008125,-0.019991808,-2.399991754,-0.639991794,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"BHOPAL BAIRAGARH IN",5,23.283,77.35,523,310,230,-20.32999129,21,-0.29,-11.61999155,-0.539991796,5.110008078,-1.499991775,-1.24999178,-3.769991724,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"JAGDALPUR IN",20,19.083,82.033,553,290,220,-20.86999128,13,-0.29,-14.33999149,0.880008172,4.500008091,-0.769991791,-1.969991764,-2.949991742,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"RAJKOT IN",0,22.3,70.783,138,320,250,-20.0949913,13,-0.29,-12.93999152,-2.019991763,5.00000808,-1.039991785,-2.339991756,1.380008161,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"RATNAGIRI IN",124.5,16.983,73.333,67,290,240,-21.53249126,13,-0.43,-18.0499914,4.5800080895,11.020007945,-0.6949917925,-1.9949917635,-0.529991796,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"SHOLAPUR IN",5,17.667,75.9,479,310,220,-21.42999127,13,-0.29,-16.88999143,3.810008107,11.23000794,-0.919991788,-1.439991776,-1.419991776,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"PORT BLAIR IN",51,11.667,92.717,79,290,220,-23.05999123,21,-0.29,-14.36999149,4.160008099,9.400007982,-3.789991723,1.750008153,1.760008153,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
